bill,yea,nay,no vote
"On the Nomination PN1246: Joshua Paul Kolar, of Indiana, to be United States Circuit Judge for the Seventh Circuit ","Van Hollen, Chris; Coons, Christopher; King, Angus; Rounds, Mike; Casey, Bob; Moran, Jerry; Murray, Patty; Hassan, Maggie; Cortez Masto, Catherine; Braun, Mike; Bennet, Michael; Schatz, Brian; Hickenlooper, John; Markey, Ed; Booker, Cory; Stabenow, Debbie; Wyden, Ron; Durbin, Richard; Collins, Susan; Schumer, Chuck; Reed, Jack; Klobuchar, Amy; Capito, Shelley; Kennedy, John Neely; Cornyn, John; Cardin, Benjamin; Cantwell, Maria; Baldwin, Tammy; Padilla, Alex; Peters, Gary; Welch, Peter; Murkowski, Lisa; Kaine, Tim; Blumenthal, Richard; Shaheen, Jeanne; Grassley, Chuck; Cassidy, Bill; Warren, Elizabeth; Menendez, Bob; Carper, Thomas; Duckworth, Tammy; Romney, Mitt; Tester, Jon; Hirono, Mazie; Ossoff, Jon; Brown, Sherrod; Smith, Tina; Rosen, Jacky; Warnock, Raphael; Luján, Ben; Cramer, Kevin; Young, Todd; Tillis, Thom; Mullin, Markwayne; Merkley, Jeff; Thune, John; Sinema, Kyrsten; Heinrich, Martin; Whitehouse, Sheldon; Ernst, Joni; Murphy, Christopher; Sanders, Bernie; Warner, Mark; Butler, Laphonza; Gillibrand, Kirsten; Kelly, Mark","Schmitt, Eric; Rubio, Marco; Vance, J.D. (James); Cotton, Tom; Blackburn, Marsha; Hawley, Josh; Paul, Rand; Tuberville, Tommy; Daines, Steve; Sullivan, Dan; Hagerty, Bill; Scott, Rick; Cruz, Ted; Lummis, Cynthia; Hyde-Smith, Cindy; Britt, Katie; Budd, Ted; Boozman, John; McConnell, Mitch; Wicker, Roger; Hoeven, John; Fischer, Deb; Ricketts, Pete; Marshall, Roger; Lankford, James","Manchin, Joe; Fetterman, John; Graham, Lindsey; Risch, James; Crapo, Mike; Barrasso, John; Johnson, Ron; Lee, Mike; Scott, Tim"
"Motion to Invoke Cloture: Joshua Paul Kolar to be U.S. Circuit Judge for the Seventh Circuit: Joshua Paul Kolar, of Indiana, to be United States Circuit Judge for the Seventh Circuit ","Van Hollen, Chris; Coons, Christopher; Fetterman, John; King, Angus; Rounds, Mike; Casey, Bob; Moran, Jerry; Graham, Lindsey; Murray, Patty; Hassan, Maggie; Cortez Masto, Catherine; Braun, Mike; Bennet, Michael; Schatz, Brian; Hickenlooper, John; Markey, Ed; Booker, Cory; Stabenow, Debbie; Wyden, Ron; Durbin, Richard; Collins, Susan; Schumer, Chuck; Reed, Jack; Capito, Shelley; Kennedy, John Neely; Cornyn, John; Cardin, Benjamin; Cantwell, Maria; Padilla, Alex; Peters, Gary; Welch, Peter; Murkowski, Lisa; Kaine, Tim; Blumenthal, Richard; Shaheen, Jeanne; Grassley, Chuck; Cassidy, Bill; Warren, Elizabeth; Menendez, Bob; Carper, Thomas; Duckworth, Tammy; Romney, Mitt; Tester, Jon; Hirono, Mazie; Ossoff, Jon; Brown, Sherrod; Luján, Ben; Rosen, Jacky; Warnock, Raphael; Cramer, Kevin; Mullin, Markwayne; Young, Todd; Tillis, Thom; Merkley, Jeff; Thune, John; Manchin, Joe; Sinema, Kyrsten; Heinrich, Martin; Whitehouse, Sheldon; Ernst, Joni; Murphy, Christopher; Sanders, Bernie; Warner, Mark; Butler, Laphonza; Gillibrand, Kirsten; Kelly, Mark","Schmitt, Eric; Rubio, Marco; Vance, J.D. (James); Cotton, Tom; Crapo, Mike; Blackburn, Marsha; Hawley, Josh; Paul, Rand; Johnson, Ron; Tuberville, Tommy; Scott, Tim; Daines, Steve; Sullivan, Dan; Lee, Mike; Hagerty, Bill; Scott, Rick; Cruz, Ted; Lummis, Cynthia; Hyde-Smith, Cindy; Risch, James; Britt, Katie; Budd, Ted; Boozman, John; McConnell, Mitch; Wicker, Roger; Hoeven, John; Fischer, Deb; Ricketts, Pete; Lankford, James","Smith, Tina; Klobuchar, Amy; Baldwin, Tammy; Marshall, Roger; Barrasso, John"
"Motion to Invoke Cloture: Kirk Edward Sherriff to be U.S. District Judge for the Eastern District of California: Kirk Edward Sherriff, of California, to be United States District Judge for the Eastern District of California ","Van Hollen, Chris; Coons, Christopher; Fetterman, John; King, Angus; Casey, Bob; Graham, Lindsey; Murray, Patty; Hassan, Maggie; Cortez Masto, Catherine; Bennet, Michael; Schatz, Brian; Hickenlooper, John; Markey, Ed; Booker, Cory; Stabenow, Debbie; Wyden, Ron; Durbin, Richard; Collins, Susan; Schumer, Chuck; Reed, Jack; Cardin, Benjamin; Cantwell, Maria; Padilla, Alex; Peters, Gary; Welch, Peter; Murkowski, Lisa; Kaine, Tim; Blumenthal, Richard; Shaheen, Jeanne; Warren, Elizabeth; Menendez, Bob; Carper, Thomas; Duckworth, Tammy; Tester, Jon; Hirono, Mazie; Ossoff, Jon; Brown, Sherrod; Luján, Ben; Rosen, Jacky; Warnock, Raphael; Merkley, Jeff; Manchin, Joe; Sinema, Kyrsten; Heinrich, Martin; Whitehouse, Sheldon; Murphy, Christopher; Sanders, Bernie; Warner, Mark; Butler, Laphonza; Gillibrand, Kirsten; Kelly, Mark","Schmitt, Eric; Rubio, Marco; Vance, J.D. (James); Rounds, Mike; Moran, Jerry; Cotton, Tom; Braun, Mike; Crapo, Mike; Blackburn, Marsha; Hawley, Josh; Paul, Rand; Johnson, Ron; Tuberville, Tommy; Scott, Tim; Daines, Steve; Sullivan, Dan; Capito, Shelley; Cornyn, John; Lee, Mike; Hagerty, Bill; Scott, Rick; Cruz, Ted; Lummis, Cynthia; Hyde-Smith, Cindy; Grassley, Chuck; Risch, James; Romney, Mitt; Britt, Katie; Budd, Ted; Boozman, John; McConnell, Mitch; Cramer, Kevin; Wicker, Roger; Mullin, Markwayne; Young, Todd; Tillis, Thom; Hoeven, John; Fischer, Deb; Ernst, Joni; Ricketts, Pete; Lankford, James; Thune, John","Smith, Tina; Klobuchar, Amy; Kennedy, John Neely; Cassidy, Bill; Baldwin, Tammy; Marshall, Roger; Barrasso, John"
"On the Nomination PN1250: Gretchen S. Lund, of Indiana, to be United States District Judge for the Northern District of Indiana ","Braun, Mike; Booker, Cory; Hickenlooper, John; Scott, Tim; Cardin, Benjamin; Lee, Mike; Murkowski, Lisa; Cruz, Ted; Kaine, Tim; Hyde-Smith, Cindy; Shaheen, Jeanne; Romney, Mitt; Duckworth, Tammy; Boozman, John; Hirono, Mazie; Ossoff, Jon; Merkley, Jeff; Rosen, Jacky; Wicker, Roger; Manchin, Joe; Fischer, Deb; Heinrich, Martin; Whitehouse, Sheldon; Butler, Laphonza; Van Hollen, Chris; Coons, Christopher; Graham, Lindsey; Hassan, Maggie; Paul, Rand; Markey, Ed; Stabenow, Debbie; Schumer, Chuck; Collins, Susan; Cantwell, Maria; Peters, Gary; Welch, Peter; Carper, Thomas; Budd, Ted; Brown, Sherrod; Luján, Ben; Young, Todd; Lankford, James; Sanders, Bernie; Rubio, Marco; Rounds, Mike; Casey, Bob; Moran, Jerry; Cotton, Tom; Cortez Masto, Catherine; Blackburn, Marsha; Bennet, Michael; Wyden, Ron; Durbin, Richard; Daines, Steve; Padilla, Alex; Hagerty, Bill; Warren, Elizabeth; Menendez, Bob; Tester, Jon; McConnell, Mitch; Cramer, Kevin; Mullin, Markwayne; Hoeven, John; Ernst, Joni; Murphy, Christopher; Warner, Mark; Kelly, Mark; Gillibrand, Kirsten; Fetterman, John; Vance, J.D. (James); King, Angus; Murray, Patty; Crapo, Mike; Schatz, Brian; Johnson, Ron; Reed, Jack; Capito, Shelley; Cornyn, John; Lummis, Cynthia; Blumenthal, Richard; Grassley, Chuck; Risch, James; Warnock, Raphael; Tillis, Thom; Sinema, Kyrsten; Ricketts, Pete; Thune, John","Scott, Rick; Britt, Katie; Schmitt, Eric; Sullivan, Dan; Hawley, Josh; Tuberville, Tommy","Smith, Tina; Klobuchar, Amy; Kennedy, John Neely; Cassidy, Bill; Baldwin, Tammy; Marshall, Roger; Barrasso, John"
"On the Nomination PN1242: Cristal C. Brisco, of Indiana, to be United States District Judge for the Northern District of Indiana ","Van Hollen, Chris; Coons, Christopher; Fetterman, John; King, Angus; Rounds, Mike; Casey, Bob; Graham, Lindsey; Murray, Patty; Hassan, Maggie; Cortez Masto, Catherine; Braun, Mike; Bennet, Michael; Schatz, Brian; Hickenlooper, John; Markey, Ed; Booker, Cory; Stabenow, Debbie; Wyden, Ron; Durbin, Richard; Collins, Susan; Schumer, Chuck; Reed, Jack; Klobuchar, Amy; Capito, Shelley; Kennedy, John Neely; Cornyn, John; Cardin, Benjamin; Cantwell, Maria; Baldwin, Tammy; Padilla, Alex; Peters, Gary; Welch, Peter; Murkowski, Lisa; Kaine, Tim; Hyde-Smith, Cindy; Blumenthal, Richard; Shaheen, Jeanne; Cassidy, Bill; Warren, Elizabeth; Menendez, Bob; Carper, Thomas; Duckworth, Tammy; Romney, Mitt; Tester, Jon; McConnell, Mitch; Hirono, Mazie; Ossoff, Jon; Brown, Sherrod; Smith, Tina; Rosen, Jacky; Warnock, Raphael; Luján, Ben; Cramer, Kevin; Young, Todd; Tillis, Thom; Merkley, Jeff; Manchin, Joe; Sinema, Kyrsten; Heinrich, Martin; Whitehouse, Sheldon; Murphy, Christopher; Lankford, James; Sanders, Bernie; Warner, Mark; Butler, Laphonza; Gillibrand, Kirsten; Kelly, Mark","Schmitt, Eric; Rubio, Marco; Vance, J.D. (James); Moran, Jerry; Cotton, Tom; Crapo, Mike; Blackburn, Marsha; Hawley, Josh; Paul, Rand; Johnson, Ron; Tuberville, Tommy; Scott, Tim; Daines, Steve; Sullivan, Dan; Lee, Mike; Hagerty, Bill; Scott, Rick; Cruz, Ted; Lummis, Cynthia; Grassley, Chuck; Risch, James; Britt, Katie; Budd, Ted; Boozman, John; Wicker, Roger; Mullin, Markwayne; Hoeven, John; Fischer, Deb; Ernst, Joni; Ricketts, Pete; Marshall, Roger; Thune, John","Barrasso, John"
"On the Nomination PN1130: Jacquelyn D. Austin, of South Carolina, to be United States District Judge for the District of South Carolina ","Booker, Cory; Hickenlooper, John; Scott, Tim; Kennedy, John Neely; Cardin, Benjamin; Lee, Mike; Murkowski, Lisa; Cruz, Ted; Kaine, Tim; Hyde-Smith, Cindy; Shaheen, Jeanne; Romney, Mitt; Duckworth, Tammy; Boozman, John; Hirono, Mazie; Ossoff, Jon; Merkley, Jeff; Rosen, Jacky; Wicker, Roger; Manchin, Joe; Fischer, Deb; Heinrich, Martin; Whitehouse, Sheldon; Butler, Laphonza; Van Hollen, Chris; Coons, Christopher; Graham, Lindsey; Hassan, Maggie; Markey, Ed; Stabenow, Debbie; Schumer, Chuck; Collins, Susan; Cantwell, Maria; Peters, Gary; Welch, Peter; Carper, Thomas; Budd, Ted; Brown, Sherrod; Luján, Ben; Young, Todd; Lankford, James; Rubio, Marco; Rounds, Mike; Casey, Bob; Moran, Jerry; Cotton, Tom; Cortez Masto, Catherine; Bennet, Michael; Wyden, Ron; Durbin, Richard; Daines, Steve; Baldwin, Tammy; Padilla, Alex; Warren, Elizabeth; Menendez, Bob; Tester, Jon; McConnell, Mitch; Smith, Tina; Cramer, Kevin; Mullin, Markwayne; Ernst, Joni; Murphy, Christopher; Warner, Mark; Fetterman, John; King, Angus; Murray, Patty; Schatz, Brian; Reed, Jack; Klobuchar, Amy; Capito, Shelley; Cornyn, John; Lummis, Cynthia; Blumenthal, Richard; Grassley, Chuck; Cassidy, Bill; Warnock, Raphael; Tillis, Thom; Sinema, Kyrsten; Ricketts, Pete; Gillibrand, Kirsten","Scott, Rick; Schmitt, Eric; Sullivan, Dan; Vance, J.D. (James); Hawley, Josh; Hoeven, John; Johnson, Ron; Risch, James; Hagerty, Bill; Braun, Mike; Crapo, Mike; Marshall, Roger; Blackburn, Marsha; Britt, Katie; Paul, Rand; Thune, John; Tuberville, Tommy","Kelly, Mark; Sanders, Bernie; Barrasso, John"
"Motion to Invoke Cloture: Cristal C. Brisco to be U.S. District Judge for the Northern District of Indiana: Cristal C. Brisco, of Indiana, to be United States District Judge for the Northern District of Indiana ","Van Hollen, Chris; Coons, Christopher; Rubio, Marco; King, Angus; Fetterman, John; Rounds, Mike; Casey, Bob; Graham, Lindsey; Murray, Patty; Hassan, Maggie; Cortez Masto, Catherine; Braun, Mike; Bennet, Michael; Schatz, Brian; Hickenlooper, John; Markey, Ed; Booker, Cory; Stabenow, Debbie; Wyden, Ron; Durbin, Richard; Collins, Susan; Schumer, Chuck; Reed, Jack; Klobuchar, Amy; Capito, Shelley; Kennedy, John Neely; Cornyn, John; Cardin, Benjamin; Cantwell, Maria; Baldwin, Tammy; Padilla, Alex; Peters, Gary; Welch, Peter; Murkowski, Lisa; Kaine, Tim; Hyde-Smith, Cindy; Blumenthal, Richard; Shaheen, Jeanne; Cassidy, Bill; Warren, Elizabeth; Menendez, Bob; Carper, Thomas; Duckworth, Tammy; Romney, Mitt; Tester, Jon; McConnell, Mitch; Hirono, Mazie; Ossoff, Jon; Brown, Sherrod; Smith, Tina; Rosen, Jacky; Warnock, Raphael; Luján, Ben; Cramer, Kevin; Young, Todd; Tillis, Thom; Mullin, Markwayne; Merkley, Jeff; Manchin, Joe; Sinema, Kyrsten; Heinrich, Martin; Whitehouse, Sheldon; Murphy, Christopher; Lankford, James; Sanders, Bernie; Warner, Mark; Butler, Laphonza; Gillibrand, Kirsten","Schmitt, Eric; Vance, J.D. (James); Moran, Jerry; Cotton, Tom; Crapo, Mike; Blackburn, Marsha; Hawley, Josh; Paul, Rand; Johnson, Ron; Tuberville, Tommy; Daines, Steve; Sullivan, Dan; Lee, Mike; Hagerty, Bill; Scott, Rick; Cruz, Ted; Lummis, Cynthia; Grassley, Chuck; Risch, James; Britt, Katie; Budd, Ted; Boozman, John; Wicker, Roger; Hoeven, John; Fischer, Deb; Ernst, Joni; Ricketts, Pete; Marshall, Roger; Thune, John","Kelly, Mark; Barrasso, John; Scott, Tim"
"Motion to Invoke Cloture: Jacquelyn D. Austin to be U.S. District Judge for the District of South Carolina: Jacquelyn D. Austin, of South Carolina, to be United States District Judge for the District of South Carolina ","Booker, Cory; Hickenlooper, John; Kennedy, John Neely; Cardin, Benjamin; Lee, Mike; Murkowski, Lisa; Cruz, Ted; Kaine, Tim; Hyde-Smith, Cindy; Shaheen, Jeanne; Romney, Mitt; Duckworth, Tammy; Boozman, John; Hirono, Mazie; Ossoff, Jon; Merkley, Jeff; Rosen, Jacky; Manchin, Joe; Wicker, Roger; Fischer, Deb; Heinrich, Martin; Whitehouse, Sheldon; Butler, Laphonza; Van Hollen, Chris; Coons, Christopher; Graham, Lindsey; Hassan, Maggie; Markey, Ed; Stabenow, Debbie; Schumer, Chuck; Collins, Susan; Cantwell, Maria; Peters, Gary; Welch, Peter; Carper, Thomas; Budd, Ted; Brown, Sherrod; Luján, Ben; Young, Todd; Lankford, James; Rubio, Marco; Rounds, Mike; Casey, Bob; Moran, Jerry; Cotton, Tom; Cortez Masto, Catherine; Bennet, Michael; Wyden, Ron; Durbin, Richard; Daines, Steve; Baldwin, Tammy; Padilla, Alex; Warren, Elizabeth; Menendez, Bob; Tester, Jon; McConnell, Mitch; Smith, Tina; Cramer, Kevin; Mullin, Markwayne; Ernst, Joni; Murphy, Christopher; Warner, Mark; Fetterman, John; King, Angus; Murray, Patty; Schatz, Brian; Johnson, Ron; Reed, Jack; Klobuchar, Amy; Capito, Shelley; Cornyn, John; Lummis, Cynthia; Blumenthal, Richard; Grassley, Chuck; Warnock, Raphael; Tillis, Thom; Sinema, Kyrsten; Ricketts, Pete; Gillibrand, Kirsten","Scott, Rick; Schmitt, Eric; Sullivan, Dan; Vance, J.D. (James); Hawley, Josh; Hoeven, John; Cassidy, Bill; Risch, James; Hagerty, Bill; Braun, Mike; Crapo, Mike; Marshall, Roger; Blackburn, Marsha; Britt, Katie; Paul, Rand; Thune, John; Tuberville, Tommy","Kelly, Mark; Sanders, Bernie; Barrasso, John; Scott, Tim"
"On the Nomination PN13: Joel Matthew Szabat, of Maryland, to be a Director of the Amtrak Board of Directors for a term of five years ","Braun, Mike; Booker, Cory; Hickenlooper, John; Kennedy, John Neely; Cardin, Benjamin; Lee, Mike; Murkowski, Lisa; Cruz, Ted; Kaine, Tim; Hyde-Smith, Cindy; Shaheen, Jeanne; Romney, Mitt; Duckworth, Tammy; Boozman, John; Hirono, Mazie; Ossoff, Jon; Merkley, Jeff; Rosen, Jacky; Wicker, Roger; Manchin, Joe; Fischer, Deb; Heinrich, Martin; Whitehouse, Sheldon; Marshall, Roger; Butler, Laphonza; Van Hollen, Chris; Coons, Christopher; Graham, Lindsey; Hassan, Maggie; Barrasso, John; Hawley, Josh; Markey, Ed; Stabenow, Debbie; Schumer, Chuck; Collins, Susan; Cantwell, Maria; Peters, Gary; Welch, Peter; Scott, Rick; Carper, Thomas; Budd, Ted; Brown, Sherrod; Luján, Ben; Thune, John; Young, Todd; Lankford, James; Sanders, Bernie; Schmitt, Eric; Rubio, Marco; Rounds, Mike; Casey, Bob; Moran, Jerry; Cotton, Tom; Cortez Masto, Catherine; Blackburn, Marsha; Bennet, Michael; Wyden, Ron; Durbin, Richard; Daines, Steve; Sullivan, Dan; Baldwin, Tammy; Padilla, Alex; Hagerty, Bill; Warren, Elizabeth; Menendez, Bob; Tester, Jon; McConnell, Mitch; Smith, Tina; Cramer, Kevin; Mullin, Markwayne; Hoeven, John; Ernst, Joni; Murphy, Christopher; Warner, Mark; Fetterman, John; Vance, J.D. (James); King, Angus; Murray, Patty; Crapo, Mike; Schatz, Brian; Johnson, Ron; Tuberville, Tommy; Reed, Jack; Klobuchar, Amy; Capito, Shelley; Cornyn, John; Lummis, Cynthia; Blumenthal, Richard; Grassley, Chuck; Risch, James; Cassidy, Bill; Britt, Katie; Warnock, Raphael; Sinema, Kyrsten; Ricketts, Pete; Gillibrand, Kirsten","Paul, Rand","Kelly, Mark; Tillis, Thom; Scott, Tim"
"On the Nomination PN14: Anthony Rosario Coscia, of New Jersey, to be a Director of the Amtrak Board of Directors for a term of five years ","Booker, Cory; Hickenlooper, John; Kennedy, John Neely; Cardin, Benjamin; Murkowski, Lisa; Cruz, Ted; Kaine, Tim; Hyde-Smith, Cindy; Shaheen, Jeanne; Romney, Mitt; Duckworth, Tammy; Boozman, John; Hirono, Mazie; Ossoff, Jon; Merkley, Jeff; Rosen, Jacky; Manchin, Joe; Wicker, Roger; Fischer, Deb; Heinrich, Martin; Whitehouse, Sheldon; Butler, Laphonza; Van Hollen, Chris; Coons, Christopher; Graham, Lindsey; Hassan, Maggie; Barrasso, John; Markey, Ed; Stabenow, Debbie; Schumer, Chuck; Collins, Susan; Cantwell, Maria; Peters, Gary; Welch, Peter; Carper, Thomas; Brown, Sherrod; Luján, Ben; Young, Todd; Lankford, James; Sanders, Bernie; Rounds, Mike; Casey, Bob; Moran, Jerry; Cotton, Tom; Cortez Masto, Catherine; Bennet, Michael; Wyden, Ron; Durbin, Richard; Sullivan, Dan; Baldwin, Tammy; Padilla, Alex; Warren, Elizabeth; Menendez, Bob; Tester, Jon; McConnell, Mitch; Smith, Tina; Cramer, Kevin; Mullin, Markwayne; Ernst, Joni; Murphy, Christopher; Warner, Mark; Gillibrand, Kirsten; Fetterman, John; King, Angus; Murray, Patty; Schatz, Brian; Reed, Jack; Klobuchar, Amy; Capito, Shelley; Cornyn, John; Lummis, Cynthia; Blumenthal, Richard; Grassley, Chuck; Britt, Katie; Warnock, Raphael; Tillis, Thom; Sinema, Kyrsten; Ricketts, Pete; Thune, John","Scott, Rick; Schmitt, Eric; Daines, Steve; Rubio, Marco; Vance, J.D. (James); Hoeven, John; Johnson, Ron; Cassidy, Bill; Risch, James; Hagerty, Bill; Braun, Mike; Crapo, Mike; Marshall, Roger; Blackburn, Marsha; Hawley, Josh; Paul, Rand; Lee, Mike; Tuberville, Tommy","Budd, Ted; Kelly, Mark; Scott, Tim"
"Motion to Invoke Cloture: Anthony Rosario Coscia to be a Director of the Amtrak Board of Directors: Anthony Rosario Coscia, of New Jersey, to be a Director of the Amtrak Board of Directors for a term of five years ","Booker, Cory; Hickenlooper, John; Kennedy, John Neely; Cardin, Benjamin; Murkowski, Lisa; Cruz, Ted; Kaine, Tim; Hyde-Smith, Cindy; Shaheen, Jeanne; Romney, Mitt; Duckworth, Tammy; Boozman, John; Hirono, Mazie; Ossoff, Jon; Merkley, Jeff; Rosen, Jacky; Manchin, Joe; Wicker, Roger; Fischer, Deb; Heinrich, Martin; Whitehouse, Sheldon; Butler, Laphonza; Van Hollen, Chris; Coons, Christopher; Graham, Lindsey; Hassan, Maggie; Barrasso, John; Markey, Ed; Stabenow, Debbie; Schumer, Chuck; Collins, Susan; Cantwell, Maria; Peters, Gary; Welch, Peter; Carper, Thomas; Brown, Sherrod; Luján, Ben; Young, Todd; Lankford, James; Sanders, Bernie; Rounds, Mike; Casey, Bob; Moran, Jerry; Cotton, Tom; Cortez Masto, Catherine; Bennet, Michael; Wyden, Ron; Durbin, Richard; Baldwin, Tammy; Padilla, Alex; Warren, Elizabeth; Menendez, Bob; Tester, Jon; McConnell, Mitch; Smith, Tina; Cramer, Kevin; Mullin, Markwayne; Ernst, Joni; Murphy, Christopher; Warner, Mark; Gillibrand, Kirsten; Fetterman, John; King, Angus; Murray, Patty; Schatz, Brian; Reed, Jack; Klobuchar, Amy; Capito, Shelley; Cornyn, John; Lummis, Cynthia; Blumenthal, Richard; Grassley, Chuck; Cassidy, Bill; Britt, Katie; Warnock, Raphael; Tillis, Thom; Sinema, Kyrsten; Ricketts, Pete; Thune, John","Schmitt, Eric; Rubio, Marco; Vance, J.D. (James); Braun, Mike; Crapo, Mike; Blackburn, Marsha; Hawley, Josh; Johnson, Ron; Paul, Rand; Tuberville, Tommy; Daines, Steve; Sullivan, Dan; Lee, Mike; Hagerty, Bill; Scott, Rick; Risch, James; Budd, Ted; Hoeven, John; Marshall, Roger","Kelly, Mark; Scott, Tim"
"On the Nomination PN15: Christopher Koos, of Illinois, to be a Director of the Amtrak Board of Directors for a term of five years ","Booker, Cory; Hickenlooper, John; Kennedy, John Neely; Cardin, Benjamin; Murkowski, Lisa; Cruz, Ted; Kaine, Tim; Hyde-Smith, Cindy; Shaheen, Jeanne; Romney, Mitt; Duckworth, Tammy; Boozman, John; Hirono, Mazie; Ossoff, Jon; Merkley, Jeff; Rosen, Jacky; Wicker, Roger; Manchin, Joe; Fischer, Deb; Heinrich, Martin; Whitehouse, Sheldon; Marshall, Roger; Butler, Laphonza; Van Hollen, Chris; Coons, Christopher; Graham, Lindsey; Hassan, Maggie; Barrasso, John; Markey, Ed; Stabenow, Debbie; Schumer, Chuck; Collins, Susan; Cantwell, Maria; Peters, Gary; Welch, Peter; Carper, Thomas; Budd, Ted; Brown, Sherrod; Luján, Ben; Young, Todd; Lankford, James; Sanders, Bernie; Rubio, Marco; Rounds, Mike; Casey, Bob; Moran, Jerry; Cotton, Tom; Cortez Masto, Catherine; Blackburn, Marsha; Bennet, Michael; Wyden, Ron; Durbin, Richard; Daines, Steve; Sullivan, Dan; Baldwin, Tammy; Padilla, Alex; Hagerty, Bill; Warren, Elizabeth; Menendez, Bob; Tester, Jon; McConnell, Mitch; Smith, Tina; Cramer, Kevin; Mullin, Markwayne; Hoeven, John; Ernst, Joni; Murphy, Christopher; Warner, Mark; Gillibrand, Kirsten; Fetterman, John; Vance, J.D. (James); King, Angus; Murray, Patty; Crapo, Mike; Schatz, Brian; Johnson, Ron; Reed, Jack; Klobuchar, Amy; Capito, Shelley; Cornyn, John; Lummis, Cynthia; Blumenthal, Richard; Grassley, Chuck; Risch, James; Cassidy, Bill; Britt, Katie; Warnock, Raphael; Tillis, Thom; Sinema, Kyrsten; Ricketts, Pete; Thune, John","Scott, Rick; Schmitt, Eric; Braun, Mike; Hawley, Josh; Paul, Rand; Lee, Mike; Tuberville, Tommy","Kelly, Mark; Scott, Tim"
"Motion to Invoke Cloture: Christopher Koos to be a Director of the Amtrak Board of Directors: Christopher Koos, of Illinois, to be a Director of the Amtrak Board of Directors for a term of five years ","Booker, Cory; Hickenlooper, John; Kennedy, John Neely; Cardin, Benjamin; Murkowski, Lisa; Cruz, Ted; Kaine, Tim; Hyde-Smith, Cindy; Shaheen, Jeanne; Romney, Mitt; Duckworth, Tammy; Boozman, John; Hirono, Mazie; Ossoff, Jon; Merkley, Jeff; Rosen, Jacky; Wicker, Roger; Manchin, Joe; Fischer, Deb; Heinrich, Martin; Whitehouse, Sheldon; Marshall, Roger; Butler, Laphonza; Van Hollen, Chris; Coons, Christopher; Hassan, Maggie; Markey, Ed; Schumer, Chuck; Collins, Susan; Cantwell, Maria; Peters, Gary; Carper, Thomas; Budd, Ted; Brown, Sherrod; Luján, Ben; Young, Todd; Lankford, James; Sanders, Bernie; Rubio, Marco; Rounds, Mike; Casey, Bob; Moran, Jerry; Cotton, Tom; Cortez Masto, Catherine; Blackburn, Marsha; Bennet, Michael; Wyden, Ron; Durbin, Richard; Daines, Steve; Baldwin, Tammy; Padilla, Alex; Warren, Elizabeth; Menendez, Bob; Tester, Jon; McConnell, Mitch; Smith, Tina; Mullin, Markwayne; Hoeven, John; Ernst, Joni; Murphy, Christopher; Warner, Mark; Gillibrand, Kirsten; Vance, J.D. (James); King, Angus; Murray, Patty; Crapo, Mike; Schatz, Brian; Johnson, Ron; Reed, Jack; Klobuchar, Amy; Capito, Shelley; Cornyn, John; Lummis, Cynthia; Blumenthal, Richard; Grassley, Chuck; Cassidy, Bill; Britt, Katie; Warnock, Raphael; Tillis, Thom; Sinema, Kyrsten; Ricketts, Pete; Thune, John","Scott, Rick; Schmitt, Eric; Braun, Mike; Hawley, Josh; Paul, Rand; Lee, Mike; Tuberville, Tommy","Cramer, Kevin; Fetterman, John; Sullivan, Dan; Graham, Lindsey; Welch, Peter; Risch, James; Hagerty, Bill; Barrasso, John; Kelly, Mark; Stabenow, Debbie; Scott, Tim"
